"","X","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","lat","long"
"1",1,1,0,"3","Braund, Mr. Owen Harris","male",22,1,0,"A/5 21171",7.25,"","S",50.55,1.25
"2",2,2,1,"1","Cumings, Mrs. John Bradley (Florence Briggs Thayer)","female",38,1,0,"PC 17599",71.2833,"C85","C",49.39,1.38
"3",3,3,1,"3","Heikkinen, Miss. Laina","female",26,0,0,"STON/O2. 3101282",7.925,"","S",50.55,1.25
"4",4,4,1,"1","Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",35,1,0,"113803",53.1,"C123","S",50.55,1.25
"5",5,5,0,"3","Allen, Mr. William Henry","male",35,0,0,"373450",8.05,"","S",50.55,1.25
"6",6,6,0,"3","Moran, Mr. James","male",29.6420927,0,0,"330877",8.4583,"","Q",-45.02,168.4
"7",7,7,0,"1","McCarthy, Mr. Timothy J","male",54,0,0,"17463",51.8625,"E46","S",50.55,1.25
"8",8,8,0,"3","Palsson, Master. Gosta Leonard","male",2,3,1,"349909",21.075,"","S",50.55,1.25
"9",9,9,1,"3","Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","female",27,0,2,"347742",11.1333,"","S",50.55,1.25
"10",10,10,1,"2","Nasser, Mrs. Nicholas (Adele Achem)","female",14,1,0,"237736",30.0708,"","C",49.39,1.38
"11",11,11,1,"3","Sandstrom, Miss. Marguerite Rut","female",4,1,1,"PP 9549",16.7,"G6","S",50.55,1.25
"12",12,12,1,"1","Bonnell, Miss. Elizabeth","female",58,0,0,"113783",26.55,"C103","S",50.55,1.25
"13",13,13,0,"3","Saundercock, Mr. William Henry","male",20,0,0,"A/5. 2151",8.05,"","S",50.55,1.25
"14",14,14,0,"3","Andersson, Mr. Anders Johan","male",39,1,5,"347082",31.275,"","S",50.55,1.25
"15",15,15,0,"3","Vestrom, Miss. Hulda Amanda Adolfina","female",14,0,0,"350406",7.8542,"","S",50.55,1.25
"16",16,16,1,"2","Hewlett, Mrs. (Mary D Kingcome) ","female",55,0,0,"248706",16,"","S",50.55,1.25
"17",17,17,0,"3","Rice, Master. Eugene","male",2,4,1,"382652",29.125,"","Q",-45.02,168.4
"18",18,18,1,"2","Williams, Mr. Charles Eugene","male",29.6420927,0,0,"244373",13,"","S",50.55,1.25
"19",19,19,0,"3","Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","female",31,1,0,"345763",18,"","S",50.55,1.25
"20",20,20,1,"3","Masselmani, Mrs. Fatima","female",29.6420927,0,0,"2649",7.225,"","C",49.39,1.38
"21",21,21,0,"2","Fynney, Mr. Joseph J","male",35,0,0,"239865",26,"","S",50.55,1.25
"22",22,22,1,"2","Beesley, Mr. Lawrence","male",34,0,0,"248698",13,"D56","S",50.55,1.25
"23",23,23,1,"3","McGowan, Miss. Anna ""Annie""","female",15,0,0,"330923",8.0292,"","Q",-45.02,168.4
"24",24,24,1,"1","Sloper, Mr. William Thompson","male",28,0,0,"113788",35.5,"A6","S",50.55,1.25
"25",25,25,0,"3","Palsson, Miss. Torborg Danira","female",8,3,1,"349909",21.075,"","S",50.55,1.25
"26",26,26,1,"3","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","female",38,1,5,"347077",31.3875,"","S",50.55,1.25
"27",27,27,0,"3","Emir, Mr. Farred Chehab","male",29.6420927,0,0,"2631",7.225,"","C",49.39,1.38
"28",28,28,0,"1","Fortune, Mr. Charles Alexander","male",19,3,2,"19950",263,"C23 C25 C27","S",50.55,1.25
"29",29,29,1,"3","O'Dwyer, Miss. Ellen ""Nellie""","female",29.6420927,0,0,"330959",7.8792,"","Q",-45.02,168.4
"30",30,30,0,"3","Todoroff, Mr. Lalio","male",29.6420927,0,0,"349216",7.8958,"","S",50.55,1.25
"31",31,31,0,"1","Uruchurtu, Don. Manuel E","male",40,0,0,"PC 17601",27.7208,"","C",49.39,1.38
"32",32,32,1,"1","Spencer, Mrs. William Augustus (Marie Eugenie)","female",29.6420927,1,0,"PC 17569",146.5208,"B78","C",49.39,1.38
"33",33,33,1,"3","Glynn, Miss. Mary Agatha","female",29.6420927,0,0,"335677",7.75,"","Q",-45.02,168.4
"34",34,34,0,"2","Wheadon, Mr. Edward H","male",66,0,0,"C.A. 24579",10.5,"","S",50.55,1.25
"35",35,35,0,"1","Meyer, Mr. Edgar Joseph","male",28,1,0,"PC 17604",82.1708,"","C",49.39,1.38
"36",36,36,0,"1","Holverson, Mr. Alexander Oskar","male",42,1,0,"113789",52,"","S",50.55,1.25
"37",37,37,1,"3","Mamee, Mr. Hanna","male",29.6420927,0,0,"2677",7.2292,"","C",49.39,1.38
"38",38,38,0,"3","Cann, Mr. Ernest Charles","male",21,0,0,"A./5. 2152",8.05,"","S",50.55,1.25
"39",39,39,0,"3","Vander Planke, Miss. Augusta Maria","female",18,2,0,"345764",18,"","S",50.55,1.25
"40",40,40,1,"3","Nicola-Yarred, Miss. Jamila","female",14,1,0,"2651",11.2417,"","C",49.39,1.38
"41",41,41,0,"3","Ahlin, Mrs. Johan (Johanna Persdotter Larsson)","female",40,1,0,"7546",9.475,"","S",50.55,1.25
"42",42,42,0,"2","Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)","female",27,1,0,"11668",21,"","S",50.55,1.25
"43",43,43,0,"3","Kraeff, Mr. Theodor","male",29.6420927,0,0,"349253",7.8958,"","C",49.39,1.38
"44",44,44,1,"2","Laroche, Miss. Simonne Marie Anne Andree","female",3,1,2,"SC/Paris 2123",41.5792,"","C",49.39,1.38
